# Reduced electric-dipole matrix elements |<n1 l1 j1 || d || n2 l2 j2>| in e a0,
# from the Portal for High-Precision Atomic Data and Computation, https://www1.udel.edu/atom/
# (M. S. Safronova et al., linearized coupled-cluster method; retrieved 2026-07-28).
species,n1,l1,j1,n2,l2,j2,matrix_element,uncertainty
Li,2,0,0.5,2,1,0.5,3.317,0.0004
Li,2,0,0.5,2,1,1.5,4.6907,0.0006
Li,2,0,0.5,3,1,0.5,0.182926,0.0001662
Li,2,0,0.5,3,1,1.5,0.2587,0.000296
Li,2,0,0.5,4,1,0.5,0.160101,8.01e-05
Li,2,0,0.5,4,1,1.5,0.22642,0.0001321
Li,2,0,0.5,5,1,0.5,0.119748,5.99e-05
Li,2,0,0.5,5,1,1.5,0.169352,8.47e-05
Li,2,0,0.5,6,1,0.5,0.0925072,0.0002975
Li,2,0,0.5,6,1,1.5,0.130826,0.0004344
Li,2,0,0.5,7,1,0.5,0.0736349,0.00015
Li,2,0,0.5,7,1,1.5,0.104137,0.0002226
Li,2,0,0.5,8,1,0.5,0.0610664,0.0008243
Li,2,0,0.5,8,1,1.5,0.086362,0.0011741
Li,2,0,0.5,9,1,0.5,0.0503411,0.0001746
Li,2,0,0.5,9,1,1.5,0.0711939,0.0002402
Li,2,0,0.5,10,1,0.5,0.04354,0.0004045
Li,2,0,0.5,10,1,1.5,0.0615756,0.0005778
Li,2,1,0.5,3,2,1.5,5.06647,0.0025332
Li,2,1,0.5,4,2,1.5,1.92912,0.0009646
Li,2,1,0.5,5,2,1.5,1.12137,0.0005607
Li,2,1,0.5,6,2,1.5,0.768177,0.0006592
Li,2,1,0.5,7,2,1.5,0.573644,0.0002868
Li,2,1,0.5,8,2,1.5,0.451138,0.0008895
Li,2,1,0.5,9,2,1.5,0.367907,0.0013707
Li,2,1,0.5,10,2,1.5,0.308399,0.0011338
Li,2,1,1.5,3,2,1.5,2.26584,0.0011329
Li,2,1,1.5,3,2,2.5,6.79752,0.0033988
Li,2,1,1.5,4,2,1.5,0.862732,0.0004314
Li,2,1,1.5,4,2,2.5,2.58822,0.0012941
Li,2,1,1.5,5,2,1.5,0.501491,0.0002507
Li,2,1,1.5,5,2,2.5,1.50449,0.0007522
Li,2,1,1.5,6,2,1.5,0.343537,0.0002947
Li,2,1,1.5,6,2,2.5,1.03062,0.0008842
Li,2,1,1.5,7,2,1.5,0.256539,0.0001283
Li,2,1,1.5,7,2,2.5,0.76963,0.0003848
Li,2,1,1.5,8,2,1.5,0.201753,0.0003979
Li,2,1,1.5,8,2,2.5,0.605265,0.0011998
Li,2,1,1.5,9,2,1.5,0.164531,0.0006131
Li,2,1,1.5,9,2,2.5,0.493598,0.0018445
Li,2,1,1.5,10,2,1.5,0.137919,0.0005071
Li,2,1,1.5,10,2,2.5,0.41376,0.001526
