Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"4p6.5s"	"2S"	"1/2"	""	"0.0000000"	""	"0"	"L3465"
"4p6.4d"	"2D"	"3/2"	""	"0.06632156"	""	"0.00000005"	"L3465"
"4p6.4d"	"2D"	"5/2"	""	"0.06759888"	""	"0.00000005"	"L3465"
"4p6.5p"	"2P*"	"1/2"	""	"0.10805436"	""	"0.00000005"	"L3465"
"4p6.5p"	"2P*"	"3/2"	""	"0.11170608"	""	"0.00000005"	"L3465"
"4p6.6s"	"2S"	"1/2"	""	"0.21750363"	""	"0.00000005"	"L3465"
"4p6.5d"	"2D"	"3/2"	""	"0.24279029"	""	"0.00000005"	"L3465"
"4p6.5d"	"2D"	"5/2"	""	"0.24318514"	""	"0.00000005"	"L3465"
"4p6.6p"	"2P*"	"1/2"	""	"0.2541055"	""	"0.0000014"	"L3465"
"4p6.6p"	"2P*"	"3/2"	""	"0.2554186"	""	"0.0000014"	"L3465"
"4p6.4f"	"2F*"	"7/2"	""	"0.2778911"	""	"0.0000005"	"L9487"
"4p6.4f"	"2F*"	"5/2"	""	"0.2778970"	""	"0.0000005"	"L9487"
"4p6.7s"	"2S"	"1/2"	""	"0.29599822"	""	"0.00000009"	"L3465"
"4p6.6d"	"2D"	"3/2"	""	"0.30765683"	""	"0.00000009"	"L3465"
"4p6.6d"	"2D"	"5/2"	""	"0.30784036"	""	"0.00000009"	"L3465"
"4p6.7p"	"2P*"	"1/2"	""	"0.3129261"	""	"0.0000009"	"L13983"
"4p6.7p"	"2P*"	"3/2"	""	"0.3135539"	""	"0.0000009"	"L13983"
"4p6.5f"	"2F*"	"5/2"	""	"0.3237996"	""	"0.0000005"	"L3465"
"4p6.5f"	"2F*"	"7/2"	""	"0.3237996"	""	"0.0000005"	"L3465"
"4p6.5g"	"2G"	"7/2"	""	"0.3251301"	""	"0.0000005"	"L3465"
"4p6.5g"	"2G"	"9/2"	""	"0.3251301"	""	"0.0000005"	"L3465"
"4p6.8s"	"2S"	"1/2"	""	"0.3336928"	""	"0.0000005"	"L3465"
"4p6.7d"	"2D"	"3/2"	""	"0.3399997"	""	"0.0000005"	"L3465"
"4p6.7d"	"2D"	"5/2"	""	"0.3400990"	""	"0.0000005"	"L3465"
"4p6.8p"	"2P*"	"1/2"	""	"0.3431458"	""	""	"VALUE MISSING IN NIST, USING 4p6.8p 2P* J=3/2"
"4p6.8p"	"2P*"	"3/2"	""	"0.3431458"	""	"0.0000005"	"L3465"
"4p6.6f"	"2F*"	"5/2"	""	"0.3488030"	""	"0.0000005"	"L3465"
