Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
"4f14.6s"	"2S"	"1/2"	""	"0.0000000"	""	"0"	"1.998"	"                                                                                    "	"L3974"
"4f13.(2F*).6s2"	"2F*"	"7/2"	""	"0.0975910"	""	""	"1.145"	"  98                :     1  (2F*<7/2>).5d2.(1S)            1[7/2]*                 "	""
"4f13.(2F*).6s2"	"2F*"	"5/2"	""	"0.1438348"	""	""	"0.862"	"  90                :     7  (2F*<7/2>)5d.6s.(3D)           3[7/2]*                 "	""
"4f14.5d"	"2D"	"3/2"	""	"0.1046171"	""	""	"0.802"	"                                                                                    "	""
"4f14.5d"	"2D"	"5/2"	""	"0.1108679"	""	""	"1.202"	"                                                                                    "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"5/2"	""	"0.1219231"	""	""	"1.570"	"  95                :     2                                 (2F*<7/2>)(3D) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"3/2"	""	"0.1310310"	""	""	"1.440"	"  62                :    27                                 (2F*<7/2>)(1D) 1[3/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"1/2"	""	"0.1533383"	""	""	"1.320"	"  77                :    13                                 (2F*<5/2>)(3D) 3[1/2]*  "	""
"4f14.6p"	"2P*"	"1/2"	""	"0.1233027"	""	""	"0.667"	"                                                                                    "	""
"4f14.6p"	"2P*"	"3/2"	""	"0.1384772"	""	""	"1.333"	"                                                                                    "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[11/2]*"	"9/2"	""	"0.1377122"	""	""	"0.935"	"  96                :     2                                 (2F*<7/2>)(3D) 3[9/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[11/2]*"	"11/2"	""	"0.1392543"	""	""	"1.112"	"  92                :     4                                 (2F*<7/2>)(1D) 1[11/2]* "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[11/2]*"	"13/2"	""	"0.1441241"	""	""	"1.230"	" 100                                                                                "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[5/2]*"	"7/2"	""	"0.1457111"	""	""	"1.331"	"  69                :    28                                 (2F*<7/2>)(3D) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[5/2]*"	"5/2"	""	"0.1474936"	""	""	"1.170"	"  66                :    24                                 (2F*<7/2>)(3D) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[5/2]*"	"3/2"	""	"0.1502752"	""	""	"0.866"	"  85                :    10                                 (2F*<7/2>)(3D) 3[3/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[7/2]*"	"9/2"	""	"0.1505973"	""	""	"1.264"	"  71                :    23                                 (2F*<7/2>)(3D) 3[9/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[7/2]*"	"5/2"	""	"0.1566913"	""	""	"1.007"	"  51                :    29                                 (2F*<7/2>)(3D) 3[5/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[7/2]*"	"7/2"	""	"0.1597406"	""	""	"1.124"	"  56                :    26                                 (2F*<7/2>)(3D) 3[9/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[9/2]*"	"7/2"	""	"0.1526130"	""	""	"0.991"	"  65                :    15                                 (2F*<7/2>)(3D) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[9/2]*"	"9/2"	""	"0.1595589"	""	""	"1.158"	"  67                :    27                                 (2F*<7/2>)(3D) 3[7/2]*  "	""
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[9/2]*"	"11/2"	""	"0.1632611"	""	""	"1.214"	"  77                :    20                                 (2F*<7/2>)(1D) 1[11/2]* "	""
